State,Abbr,Code,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2001,2002
United States,US,-1,75995,91972,105711,122775,131669,150697,179323,203212,226546,248710,281422,285318,288369
Alabama,AL,0,1829,2138,2348,2646,2833,3062,3267,3444,3894,4041,4447,4469,4487
Alaska,AK,1,64,64,55,59,73,129,226,300,402,550,627,634,644
Arizona,AZ,2,123,204,334,436,499,750,1302,1771,2718,3665,5131,5307,5456
Arkansas,AR,3,1312,1574,1752,1854,1949,1910,1786,1923,2286,2351,2673,2695,2710
California,CA,4,1485,2378,3427,5677,6907,10586,15717,19953,23668,29760,33872,34600,35116
Colorado,CO,5,540,799,940,1036,1123,1325,1754,2207,2890,3294,4301,4431,4507
Connecticut,CT,6,908,1115,1381,1607,1709,2007,2535,3032,3108,3287,3406,3435,3461
Delaware,DE,7,185,202,223,238,267,318,446,548,594,666,784,797,807
District of Columbia,DC,50,279,331,438,487,663,802,764,757,638,607,572,574,571
Florida,FL,8,529,753,968,1468,1897,2771,4952,6789,9746,12938,15982,16373,16713
Georgia,GA,9,2216,2609,2896,2909,3124,3445,3943,4590,5463,6478,8186,8406,8560
Hawaii,HI,10,154,192,256,368,423,500,633,769,965,1108,1212,1227,1245
Idaho,ID,11,162,326,432,445,525,589,667,713,944,1007,1294,1321,1341
Illinois,IL,12,4822,5639,6485,7631,7897,8712,10081,11114,11427,11431,12419,12520,12601
Indiana,IN,13,2516,2701,2930,3239,3428,3934,4662,5194,5490,5544,6080,6127,6159
Iowa,IA,14,2232,2225,2404,2471,2538,2621,2758,2824,2914,2777,2926,2932,2937
Kansas,KS,15,1470,1691,1769,1881,1801,1905,2179,2247,2364,2478,2688,2702,2716
Kentucky,KY,16,2147,2290,2417,2615,2846,2945,3038,3219,3661,3685,4042,4069,4093
Louisiana,LA,17,1382,1656,1799,2102,2364,2684,3257,3641,4206,4220,4469,4470,4483
Maine,ME,18,694,742,768,797,847,914,969,992,1125,1228,1275,1284,1294
Maryland,MD,19,1188,1295,1450,1632,1821,2343,3101,3922,4217,4781,5296,5386,5458
Massachusetts,MA,20,2805,3366,3852,4250,4317,4691,5149,5689,5737,6016,6349,6401,6428
Michigan,MI,21,2421,2810,3668,4842,5256,6372,7823,8875,9262,9295,9938,10006,10050
Minnesota,MN,22,1751,2076,2387,2564,2792,2982,3414,3805,4076,4375,4919,4985,5020
Mississippi,MS,23,1551,1797,1791,2010,2184,2179,2178,2217,2521,2573,2845,2860,2872
Missouri,MO,24,3107,3293,3404,3629,3785,3955,4320,4677,4917,5117,5595,5637,5673
Montana,MT,25,243,376,549,538,559,591,675,694,787,799,902,905,909
Nebraska,NE,26,1066,1192,1296,1378,1316,1326,1411,1483,1570,1578,1711,1720,1729
Nevada,NV,27,42,82,77,91,110,160,285,489,800,1202,1998,2098,2173
New Hampshire,NH,28,412,431,443,465,492,533,607,738,921,1109,1236,1259,1275
New Jersey,NJ,29,1884,2537,3156,4041,4160,4835,6067,7168,7365,7730,8414,8511,8590
New Mexico,NM,30,195,327,360,423,532,681,951,1016,1303,1515,1819,1831,1855
New York,NY,31,7269,9114,10385,12588,13479,14830,16782,18237,17558,17990,18976,19084,19158
North Carolina,NC,32,1894,2206,2559,3170,3572,4062,4556,5082,5882,6629,8049,8206,8320
North Dakota,ND,33,319,577,647,681,642,620,632,618,653,639,642,637,634
Ohio,OH,34,4158,4767,5759,6647,6908,7947,9706,10652,10798,10847,11353,11390,11421
Oklahoma,OK,35,790,1657,2028,2396,2336,2233,2328,2559,3025,3146,3451,3470,3494
Oregon,OR,36,414,673,783,954,1090,1521,1769,2091,2633,2842,3421,3473,3522
Pennsylvania,PA,37,6302,7665,8720,9631,9900,10498,11319,11794,11864,11882,12281,12303,12335
Rhode Island,RI,38,429,543,604,687,713,792,859,947,947,1003,1048,1060,1070
South Carolina,SC,39,1340,1515,1684,1739,1900,2117,2383,2591,3122,3487,4012,4062,4107
South Dakota,SD,40,402,584,637,693,643,653,681,666,691,696,755,758,761
Tennessee,TN,41,2021,2185,2338,2617,2916,3292,3567,3924,4591,4877,5689,5749,5797
Texas,TX,42,3049,3897,4663,5825,6415,7711,9580,11197,14229,16987,20852,21371,21780
Utah,UT,43,277,373,449,508,550,689,891,1059,1461,1723,2233,2279,2316
Vermont,VT,44,344,356,352,360,359,378,390,444,511,563,609,613,617
Virginia,VA,45,1854,2062,2309,2422,2678,3319,3967,4648,5347,6187,7079,7197,7294
Washington,WA,46,518,1142,1357,1563,1736,2379,2853,3409,4132,4867,5894,5993,6069
West Virginia,WV,47,959,1221,1464,1729,1902,2006,1860,1744,1950,1793,1808,1801,1802
Wisconsin,WI,48,2069,2334,2632,2939,3138,3435,3952,4418,4706,4892,5364,5406,5441
Wyoming,WY,49,93,146,194,226,251,291,330,332,470,454,494,494,499
