1	-1.000000	188886257.180346	0.018827	-188807875.387687
1.882854e-02	2	0.000000	2099.180856	0.007451	-272.995096
-8.057507e-02	3	1.000000	-2297929.439481	0.016602	2297951.917737
1.660220e-02	4	2.000000	-0.371476	0.080572	119.465526
3.966925e-02	5	3.000000	1511.554252	0.004314	0.026587
9.402384e-02	6	4.000000	284.933847	0.048624	0.000000
4.862413e-02	7	5.000000	304.714768	-0.000845	329.345889
2.503009e-02	8	6.000000	-79.336975	0.039135	994.220949
2.008392e-02	9	7.000000	154.598670	0.016978	-0.012764
8.439563e-02	10	8.000000	-26.358053	0.067352	401.393041
4.558606e-02	11	9.000000	2290.210786	0.005101	75.184295
4.061199e-02	12	10.000000	-0.633305	0.066771	164.706099
2.349583e-02	13	11.000000	0.000000	0.205892	275.565386
1.468189e-02	14	12.000000	39463819.147804	0.019352	-39458793.792914
1.935316e-02	15	13.000000	-4.447318	0.055308	2382.267703
1.106775e-02	16	14.000000	-106809905.672012	-0.003264	106812083.278800
-3.264129e-03	17	15.000000	1548.963937	0.005067	0.246163
6.088239e-02	18	16.000000	0.000000	0.243259	2161.308492
6.093390e-03	19	17.000000	-2.550659	0.063953	1362.031328
1.483720e-02	20	18.000000	130.910656	-0.016419	571.468225
7.880043e-03	21	19.000000	-0.581245	0.076828	981.962052
1.907214e-02	22	20.000000	28012652.306560	0.015819	-28009618.644572
1.581952e-02	23	21.000000	11124224.818283	0.028170	-11121685.493187
2.817221e-02	24	22.000000	2134789.758225	0.013540	-2132930.832391
1.354294e-02	25	23.000000	0.000013	0.160342	1675.686291
4.790439e-03	26	24.000000	361.137493	-0.020734	2764.472144
6.950806e-03	27	25.000000	430.457176	0.007264	-192.095675
-1.306055e-01	28	26.000000	0.000000	0.220961	1147.690456
3.676162e-03	29	27.000000	42.732848	-0.031596	16.375211
4.798261e-02	30	28.000000	225.863373	-0.026175	202.490308
1.805591e-02	31	29.000000	26098256.895435	0.026274	-26096122.511440
2.627467e-02	32	30.000000	971657.389178	0.030334	-971437.195554
3.033540e-02	33	31.000000	-476194855.418282	0.020723	476202963.696039
2.072309e-02	34	32.000000	0.000000	0.213162	2034.106215
1.324510e-02	35	33.000000	658.353669	-0.000383	-340.265982
-1.562525e-01	36	34.000000	48231288.561272	0.022740	-48227127.592997
2.274069e-02	37	35.000000	1713.940000	0.006819	-927.580892
-1.932081e-01	38	36.000000	-46304.948614	0.029033	46795.037914
2.896776e-02	39	37.000000	8645.732509	0.003346	0.000000
3.345897e-03	40	38.000000	438.859974	0.009577	0.000000
9.577299e-03	41	39.000000	1000.889189	0.001528	387.491028
1.992151e-02	42	40.000000	609.355797	0.001905	-207.856372
-1.890249e-01	43	41.000000	1968.358651	0.009419	9.792564
4.133341e-02	44	42.000000	181.961802	0.033895	3058.391272
1.623148e-02	45	43.000000	140.179997	-0.003871	169.189015
2.531116e-02	46	44.000000	212.930270	-0.014544	141.161870
1.379593e-02	47	45.000000	313.110687	-0.068211	1576.021615
1.508038e-02	48	46.000000	-7534152.190356	0.027095	7534950.165451
2.709464e-02	49	47.000000	3859.423864	-0.006041	-2943.017901
-2.222499e-02	50	48.000000	-130.418218	0.028354	2209.165133
1.233102e-02	51	49.000000	249.054461	0.007437	-149.144745
-1.669918e-02	
